year,newspaper_sales_return,return_percent
1926,0.037756,3.78
1927,0.012148,1.21
1928,0.036601,3.66
1929,-0.087385,-8.74
1930,-0.158231,-15.82
1931,-0.269357,-26.94
1932,-0.103176,-10.32
1933,0.029525,2.95
1934,0.048675,4.87
1935,0.051056,5.11
1936,-0.000821,-0.08
1937,0.033184,3.32
1938,0.047472,4.75
1939,0.027126,2.71
1940,0.021065,2.11
1941,0.008068,0.81
1942,0.091308,9.13
1943,0.089818,8.98
1944,0.019643,1.96
1945,0.069756,6.98
1946,0.034353,3.44
1947,0.036707,3.67
1948,0.028584,2.86
1949,0.03145,3.14
1950,0.000366,0.04
1951,0.030301,3.03
1952,-0.020705,-2.07
1953,0.052453,5.25
1954,0.021352,2.14
1955,0.001551,0.16
1956,0.054962,5.5
1957,0.081406,8.14
1958,0.076538,7.65
1959,0.044865,4.49
1960,0.038596,3.86
1961,0.012421,1.24
1962,0.018042,1.8
1963,0.038446,3.84
1964,0.042834,4.28
1965,-0.022498,-2.25
1966,0.009881,0.99
1967,0.016027,1.6
1968,0.028376,2.84
1969,0.037725,3.77
1970,0.026201,2.62
1971,0.018817,1.88
1972,-0.014503,-1.45
1973,0.022877,2.29
1974,-0.06397,-6.4
1975,0.002141,0.21
1976,0.013445,1.34
1977,0.040077,4.01
1978,0.059291,5.93
1979,0.012004,1.2
1980,-0.035753,-3.58
1981,0.048768,4.88
1982,-0.049904,-4.99
1983,0.050915,5.09
1984,0.036966,3.7
1985,0.018956,1.9
1986,0.017769,1.78
1987,-0.001987,-0.2
1988,0.010659,1.07
1989,0.017077,1.71
1990,0.038069,3.81
1991,-0.040037,-4.0
1992,-0.027104,-2.71
1993,-0.009456,-0.95
1994,0.022282,2.23
1995,-0.00477,-0.48
1996,-0.004636,-0.46
1997,0.006715,0.67
1998,0.001499,0.15
1999,0.010087,1.01
2000,-0.023663,-2.37
2001,-0.067579,-6.76
2002,-0.016065,-1.61
2003,-0.02565,-2.56
2004,-0.00344,-0.34
2005,-0.008971,-0.9
2006,-0.019235,-1.92
2007,-0.000399,-0.04
2008,-0.180032,-18.0
2009,-0.099122,-9.91
2010,0.012733,1.27
2011,-0.043071,-4.31
2012,-0.035746,-3.57
2013,-0.048138,-4.81
2014,-0.025676,-2.57
2015,-0.049598,-4.96
2016,-0.013974,-1.4
2017,-0.053158,-5.32
2018,-0.008801,-0.88
2019,0.004464,0.45
2020,-0.101845,-10.18
2021,0.077332,7.73
2022,0.011302,1.13
2023,-0.015071,-1.51
2024,-0.063551,-6.36
2025,0.00268,0.27
