Month,Year,MonthNumber,MonthName,Customers,NewCustomers,CancelledCustomers,NewspapersDelivered,NewspapersSold,UnsoldNewspapers,PricePerCopy,MonthlyRevenue
2016-01,2016,1,January,12851,189,141,13206,12768,438,5.0,63840.0
2016-02,2016,2,February,12542,193,152,12990,12505,485,5.0,62525.0
2016-03,2016,3,March,12559,192,142,12791,12297,494,5.0,61485.0
2016-04,2016,4,April,12210,198,158,12549,12106,443,5.0,60530.0
2016-05,2016,5,May,11794,129,146,11705,11245,460,5.0,56225.0
2016-06,2016,6,June,11542,193,142,11970,11601,369,5.0,58005.0
2016-07,2016,7,July,11733,142,146,11698,11287,411,5.0,56435.0
2016-08,2016,8,August,12057,138,150,12347,11908,439,5.0,59540.0
2016-09,2016,9,September,12259,215,138,12519,12072,447,5.0,60360.0
2016-10,2016,10,October,13181,185,146,13372,12915,457,5.0,64575.0
2016-11,2016,11,November,13515,219,153,13815,13355,460,5.0,66775.0
2016-12,2016,12,December,12867,195,128,13140,12655,485,5.0,63275.0
2017-01,2017,1,January,12315,194,154,12630,12196,434,5.0,60980.0
2017-02,2017,2,February,12025,162,149,12418,11959,459,5.0,59795.0
2017-03,2017,3,March,12045,153,99,12137,11765,372,5.0,58825.0
2017-04,2017,4,April,11985,113,152,12164,11648,516,5.0,58240.0
2017-05,2017,5,May,12189,205,125,12429,12049,380,5.0,60245.0
2017-06,2017,6,June,11741,176,126,12045,11647,398,5.0,58235.0
2017-07,2017,7,July,11354,231,151,11689,11212,477,5.0,56060.0
2017-08,2017,8,August,11839,213,158,12329,11890,439,5.0,59450.0
2017-09,2017,9,September,12428,134,132,13080,12621,459,5.0,63105.0
2017-10,2017,10,October,12934,180,126,13333,12900,433,5.0,64500.0
2017-11,2017,11,November,13478,170,133,13830,13362,468,5.0,66810.0
2017-12,2017,12,December,12675,225,138,13125,12727,398,5.0,63635.0
2018-01,2018,1,January,12253,156,155,12546,12187,359,5.0,60935.0
2018-02,2018,2,February,12023,193,150,12316,11850,466,5.0,59250.0
2018-03,2018,3,March,12322,151,139,12612,12171,441,5.0,60855.0
2018-04,2018,4,April,11880,188,149,12244,11896,348,5.0,59480.0
2018-05,2018,5,May,11677,145,147,12040,11574,466,5.0,57870.0
2018-06,2018,6,June,11523,172,176,11878,11480,398,5.0,57400.0
2018-07,2018,7,July,11263,183,108,11827,11398,429,5.0,56990.0
2018-08,2018,8,August,11296,186,141,11494,11047,447,5.0,55235.0
2018-09,2018,9,September,11610,187,166,11774,11394,380,5.0,56970.0
2018-10,2018,10,October,12674,177,116,13095,12651,444,5.0,63255.0
2018-11,2018,11,November,12988,247,118,13219,12806,413,5.0,64030.0
2018-12,2018,12,December,12344,123,124,12484,12045,439,5.0,60225.0
2019-01,2019,1,January,12129,176,137,12540,12125,415,5.5,66687.5
2019-02,2019,2,February,11859,182,164,11814,11414,400,5.5,62777.0
2019-03,2019,3,March,11719,158,149,12110,11689,421,5.5,64289.5
2019-04,2019,4,April,11512,166,127,11741,11369,372,5.5,62529.5
2019-05,2019,5,May,11333,202,156,11682,11294,388,5.5,62117.0
2019-06,2019,6,June,11349,217,121,11582,11161,421,5.5,61385.5
2019-07,2019,7,July,11169,200,150,11202,10846,356,5.5,59653.0
2019-08,2019,8,August,11274,162,133,11405,11052,353,5.5,60786.0
2019-09,2019,9,September,11390,214,95,11622,11175,447,5.5,61462.5
2019-10,2019,10,October,12174,169,127,12171,11754,417,5.5,64647.0
2019-11,2019,11,November,12909,177,120,12987,12561,426,5.5,69085.5
2019-12,2019,12,December,12166,210,139,12432,11973,459,5.5,65851.5
2020-01,2020,1,January,12072,182,116,12336,11888,448,5.5,65384.0
2020-02,2020,2,February,11737,218,142,11859,11470,389,5.5,63085.0
2020-03,2020,3,March,12106,201,129,12646,12211,435,5.5,67160.5
2020-04,2020,4,April,11130,191,183,11640,11272,368,5.5,61996.0
2020-05,2020,5,May,11336,152,136,11597,11241,356,5.5,61825.5
2020-06,2020,6,June,10865,130,108,11106,10741,365,5.5,59075.5
2020-07,2020,7,July,10596,157,157,10812,10421,391,5.5,57315.5
2020-08,2020,8,August,11182,122,161,11214,10840,374,5.5,59620.0
2020-09,2020,9,September,11407,144,143,11555,11192,363,5.5,61556.0
2020-10,2020,10,October,12230,188,124,12395,11987,408,5.5,65928.5
2020-11,2020,11,November,12375,209,120,12657,12201,456,5.5,67105.5
2020-12,2020,12,December,12009,202,147,12436,12010,426,5.5,66055.0
2021-01,2021,1,January,11329,194,133,11646,11242,404,5.5,61831.0
2021-02,2021,2,February,10987,156,155,11012,10668,344,5.5,58674.0
2021-03,2021,3,March,11339,138,142,11480,11115,365,5.5,61132.5
2021-04,2021,4,April,10740,191,170,10864,10493,371,5.5,57711.5
2021-05,2021,5,May,10817,159,140,11198,10864,334,5.5,59752.0
2021-06,2021,6,June,10724,189,171,10879,10508,371,5.5,57794.0
2021-07,2021,7,July,10877,162,130,11058,10681,377,5.5,58745.5
2021-08,2021,8,August,11124,148,142,11424,10945,479,5.5,60197.5
2021-09,2021,9,September,11292,204,134,11630,11231,399,5.5,61770.5
2021-10,2021,10,October,12132,191,141,12299,11862,437,5.5,65241.0
2021-11,2021,11,November,12119,217,140,12078,11716,362,5.5,64438.0
2021-12,2021,12,December,11437,188,157,11909,11514,395,5.5,63327.0
2022-01,2022,1,January,11440,176,178,11886,11446,440,6.0,68676.0
