from,UConn Stamford (depot),Darien,New Canaan,"Pound Ridge, NY",Rowayton,"SoNo, Norwalk",Westport,Wilton,Weston,Ridgefield,Fairfield,"Bedford, NY","Noroton Heights, Darien"
UConn Stamford (depot),0,5,10,12,7,9,13,16,17,21,17,13,4
Darien,5,0,5,13,2,4,8,11,12,17,12,17,2
New Canaan,10,5,0,7,7,7,10,6,9,12,14,11,6
"Pound Ridge, NY",12,13,7,0,15,13,17,10,15,10,21,4,13
Rowayton,7,2,7,15,0,3,8,11,13,19,13,19,4
"SoNo, Norwalk",9,4,7,13,3,0,5,8,10,16,10,20,6
Westport,13,8,10,17,8,5,0,6,5,14,5,23,10
Wilton,16,11,6,10,11,8,6,0,4,8,11,14,12
Weston,17,12,9,15,13,10,5,4,0,10,9,19,14
Ridgefield,21,17,12,10,19,16,14,8,10,0,19,13,17
Fairfield,17,12,14,21,13,10,5,11,9,19,0,27,14
"Bedford, NY",13,17,11,4,19,20,23,14,19,13,27,0,15
"Noroton Heights, Darien",4,2,6,13,4,6,10,12,14,17,14,15,0
